date,equity_return,bond_return,roro,sentiment_return,composite_signal,equity_position,nav,benchmark_nav
2014-01-03,-0.013436389147528538,0.001455377076201385,0.6540400423543697,-0.00878793652713936,0,0.5,0.9940094939643365,0.9940094939643365
2014-01-06,-0.022761689364185655,0.003206059712816051,0.6540400423543697,-0.014887056275808993,-1,0.3,0.9842902531973805,0.9842902531973805
2014-01-07,-0.00028410144208279586,-0.000308306749446672,0.6540400423543697,-0.00018581371921276934,1,0.8,0.9839939373833394,0.9839987023929622
2014-01-08,0.001747094840440111,-0.00030827391389836114,0.6540400423543697,0.001142669983438551,1,0.8,0.9853085740356948,0.9847066013553086
2014-01-09,-0.008782685842569138,0.003318425631014783,0.6540400423543697,-0.005744228220459042,-1,0.3,0.9790395841500064,0.9820162548043883
2014-01-10,-0.00781650429907732,0.0016948694583058177,0.6540400423543697,-0.005112306802831644,1,0.8,0.9779053250172175,0.979010482344581
2014-01-13,-0.0050670090631974585,-0.0007789487718699043,0.6540400423543697,-0.0033140268223036413,1,0.8,0.973788933270983,0.9761488553446434
2014-01-14,0.008737376799431429,0.0012451200871719293,0.6540400423543697,0.005714594291966219,1,0.8,0.9808381187697633,0.9810210567993131
2014-01-15,-0.0017646957809084318,-0.0007668353856249246,0.6540400423543697,-0.0011541817032879283,-1,0.3,0.9793029857823972,0.9797793141091566
2014-01-16,0.0013142044083569449,-0.0007714595071405138,0.6540400423543697,0.0008595423069040756,1,0.8,0.9791602422535799,0.9800451992226817
2014-01-17,-0.015080629556153191,0.0006439245431320682,0.6540400423543697,-0.009863335593636993,-1,0.3,0.9674732610042776,0.972970887502379
2014-01-20,-0.005735629482466642,-0.003666560489315596,0.6540400423543697,-0.0037513313496414544,1,0.8,0.9633254310931959,0.9683968589417236
2014-01-21,0.009887843589522216,-0.0032898356650260655,0.6540400423543697,0.0064670456400844935,1,0.8,0.9703117635719154,0.9715916040164009
2014-01-22,0.025777517703585495,-0.0009645750584819455,0.6540400423543697,0.016859528770643572,1,0.8,0.9901343587974746,0.9836456273888624
2014-01-23,-0.005306632153725066,-0.0018656622406688478,0.6540400423543697,-0.0034707499185814023,-1,0.3,0.985561484480273,0.9801181293791668
2014-01-24,0.006178174631444433,0.0007884946651905478,0.6540400423543697,0.0040407735976226095,1,0.8,0.9879321527495274,0.9835322088186772
2014-01-27,-0.013251677221756686,-0.0016560481510424219,0.6540400423543697,-0.00866712753138418,-1,0.3,0.9771315337023586,0.9762010947864915
2014-01-28,0.0017762382108732488,-0.002664607402670583,0.6540400423543697,0.0011617309146709897,1,0.8,0.9758296488698617,0.975767481297688
2014-01-29,0.0035705034788307,0.003091297537843108,0.6540400423543697,0.0023352522465208557,1,0.8,0.9792203273528717,0.979017665697161
