hs300_return,guozheng_return,hsi_return,sp500_return,nasdaq_return,cbond_return,agg_return,gold_return,oil_return,date,year_month,equity_return,bond_return,roro_signal,sentiment_signal,composite_signal
-0.051476801244456305,-0.014139409178177242,-0.05589665899197882,-0.020627975996129977,-0.008744084065209878,0.009821336972270833,0.01297968397291216,0.014285714285714235,0.029233025984912064,2014-01-30,2014-01,-0.030176985895190446,0.011400510472591496,0,1,0
-0.01514678304872863,-0.00446411420177395,0.05546608447123491,0.03474081032047138,0.03767366072080325,0.014449678610474637,0.0040835266821346305,0.053404804447091614,0.027132559070885076,2014-02-28,2014-02,0.02165393165240139,0.009266602646304634,0,1,0
-0.02011760570131993,-0.04035653830864516,-0.015537731819269651,0.014417052132839281,-0.019799018265040713,-0.0012537901301862275,-0.0036971993714760565,-0.04279362726935898,-0.03183377811666033,2014-03-31,2014-03,-0.016278768392287236,-0.002475494750831142,0,1,0
-0.002059992187192883,-0.018461039482568276,-0.014012865536558783,-0.0008326977932407997,-0.020877947969429878,0.010261632192656744,0.009490137700037149,0.003700097370983535,0.0,2014-04-30,2014-04,-0.011248908593798124,0.009875884946346947,0,-1,0
-2.782324817762749e-06,0.009066187728641761,0.050295946073372066,0.020645586686041772,0.03653999685367815,0.013340788559616179,0.009399189089568827,-0.04267942583732054,0.032468837957378316,2014-05-30,2014-05,0.023308987003383196,0.011369988824592503,0,1,0
0.007070037089786485,0.030960028999759803,-0.0043071654770662215,0.018703483150244393,0.032012779899841304,0.00459182754736398,0.006347746090156425,0.058137195735264546,0.026397818040132526,2014-06-30,2014-06,0.016887832732513153,0.005469786818760203,0,1,0
0.0857874513931014,0.07770874489390622,0.05126326933531722,-0.021613272811616513,-0.0004699340036120603,-0.0005934146260425655,0.0,-0.031826741996233476,-0.06806531232200497,2014-07-31,2014-07,0.038535251761419254,-0.0002967073130212827,0,-1,0
0.003814283665936502,0.03557512885436953,0.008545050859019243,0.040630584479737886,0.05229572123514448,0.006677602151295092,0.008717195815745926,-0.004259438528557591,-0.0196158561503883,2014-08-29,2014-08,0.028172153818841528,0.007697398983520509,0,1,0
0.040619160817843225,0.075643103200564,-0.07349316306151543,-0.014977920068905859,-0.011318910486242673,0.010725821034805572,-0.003930170916735198,-0.05441119315973575,-0.01851851851851849,2014-09-30,2014-09,0.0032944540803486523,0.0033978250590351866,0,1,0
0.01208126427594114,0.006210096458408199,0.031583202674877686,0.024968400374799637,0.02897460118841777,0.01754467239374602,0.00018208302986155722,-0.043344289235825784,-0.07753980071011335,2014-10-31,2014-10,0.020763512994488885,0.008863377711803788,0,1,0
0.11791655323599803,0.07617617338836391,0.0029887357077109655,0.024655442561660967,0.04041711340797782,0.010479545754114028,0.007664233576642365,0.012845215157353929,-0.16031987814166027,2014-11-28,2014-11,0.05243080366034234,0.009071889665378197,0,1,0
