trade_date,equity_return,bond_return,roro,sentiment_return,composite_signal,equity_position
20140102,0.0,0.0,,,0,0.5
20140103,-0.007572143246525553,-0.010218647217563381,,,0,0.5
20140106,-0.024673400511003807,-0.028941557158203346,,,0,0.5
20140107,0.005217743623897764,0.0014821426593287779,,,0,0.5
20140108,0.006045175819273774,0.004728938143036876,,,0,0.5
20140109,-0.012479943359096524,-0.010827567071224009,,,0,0.5
20140110,-0.01259050315364535,-0.0033745418930635207,,,0,0.5
20140113,-0.00346706265675778,-0.0006704174967230303,,,0,0.5
20140114,0.015985052305039105,0.012548172417052195,,,0,0.5
20140115,0.004333382760383475,-0.0006906118686476059,,,0,0.5
20140116,-0.0003248530059361543,0.005142174931658472,,,0,0.5
20140117,-0.012007047988503938,-0.022678282076881273,,,0,0.5
20140120,-0.006253939100092365,-0.005542126065122943,,,0,0.5
20140121,0.013072057626915212,0.002544405421754492,,,0,0.5
20140122,0.023721479842755522,0.02762672538024291,,,0,0.5
20140123,0.002065407138858777,-0.0012172830762501308,,,0,0.5
20140124,0.010430884689203057,0.004449941463819718,,,0,0.5
20140127,-0.00803512413485169,-0.008242184023967036,,,0,0.5
20140128,-0.0006410177924155991,-0.01245471408161436,,,0,0.5
20140129,0.008547205184063156,-0.010113206661451324,0.8476409067550946,,0,0.5
20140130,-0.007395407801482012,-0.018070145413624283,0.8479221978399042,-0.006268650174671914,1,0.8
20140207,0.013261153254319646,0.013674410416536054,0.8558262327829445,0.011244426213294512,2,1.0
20140210,0.025426222800104314,0.024227299754000065,0.8487793555343629,0.021760428472913085,0,0.5
20140211,0.0038164452951977013,0.00590202001539919,0.8455827811323513,0.003239319978090056,-2,0.3
20140212,0.007639699868541294,0.006101593906685299,0.8464059124661614,0.006459998661857606,2,1.0
20140213,-0.012875772163187416,-0.007956137455396362,0.8370168904650939,-0.010898129686489046,-2,0.3
20140214,0.01360356657826911,0.020220806310139672,0.8625864972265354,0.011386414996577688,2,1.0
20140217,0.015179669861217437,0.013801413322736655,0.8739896608896546,0.013093778254642757,2,1.0
20140218,-0.0060385603468160465,-0.011286865604890561,0.8761352272719145,-0.0052776393097754715,0,0.5
20140219,0.005732084931899584,0.005622997381512729,0.8760651461342113,0.005022081534551758,0,0.5
20140220,-0.012893183331878222,-0.003716016749779727,0.8621042282175313,-0.011295268539777071,-2,0.3
20140221,-0.005494237396037771,-0.008556744549465423,0.8520836743626321,-0.004736605289955041,0,0.5
20140224,-0.00764331657986661,-0.01210924287988846,0.8592581409846873,-0.006512745275689568,0,0.5
20140225,-0.03401704134352801,-0.03565151194425065,0.9094116613962614,-0.02922941970663913,0,0.5
20140226,0.004609453967995614,-0.001145596778892144,0.8932454148985577,0.004191891191164481,0,0.5
20140227,-0.010975080749683064,-0.010891592588104348,0.8949431082611827,-0.009803440557795822,0,0.5
20140228,0.010668626519871993,0.01946596680010959,0.8914479797317564,0.009547813778571926,0,0.5
20140303,0.014143763350937033,0.018340612190720362,0.8957768634606637,0.012608429264996874,2,1.0
20140304,-0.000607586759695411,-0.00839078679225147,0.9020855261194402,-0.0005442621618801832,0,0.5
20140305,-0.004473050680282253,0.006212473463784729,0.9260542995907131,-0.004035074276281336,0,0.5
20140306,0.0021039129147545355,-0.002990378609624811,0.9307629991072349,0.001948337600672867,2,1.0
20140307,-0.0024791537428705546,0.005605139987538532,0.9207333656597755,-0.002307504572962124,-2,0.3
20140310,-0.03538092316982927,-0.021576462437812527,0.9002873763633775,-0.032576396470306836,-2,0.3
20140311,0.001127804866706883,0.017625049061565923,0.8779437790733541,0.0010153484844973883,0,0.5
20140312,-0.0007952755281818158,-0.004054045626863512,0.8740050046403312,-0.0006982072026165011,-2,0.3
20140313,0.01329822155649829,0.029940811696036906,0.8728158287188944,0.011622712193195441,0,0.5
20140314,-0.005021948755102146,-0.010639828521792571,0.8579563452323283,-0.0043832363644683,-2,0.3
20140317,0.01709764231706623,0.005624410070049546,0.8315126623776949,0.014669030714439741,0,0.5
20140318,0.002046005658745964,0.007047250407643757,0.8353411415889105,0.0017012796125436861,0,0.5
20140319,-0.0037016353227264376,-0.014378687181731298,0.820055019707575,-0.0030921282762321374,-2,0.3
20140320,-0.022101426126011514,-0.02297624899611117,0.8428770918149745,-0.018124385437331886,0,0.5
20140321,0.02467181041581279,0.01845436616173801,0.8521402131851236,0.02079530381309068,2,1.0
20140324,0.0047755109451017574,0.002338629590057373,0.851250385195292,0.004069404914826902,-2,0.3
20140325,-0.0005042910730242989,-0.005427797979450366,0.7975796462568184,-0.00042927797016248154,-2,0.3
20140326,0.0020525885636486496,-0.0060671221819598165,0.7939646269243559,0.001637102860505681,0,0.5
20140327,-0.013699120692524491,-0.015650262710907192,0.7991880930656311,-0.010876617249831931,0,0.5
20140328,-0.014649495576227689,-0.013401573973727987,0.8029478023468328,-0.011707702433938805,0,0.5
20140331,-0.005437481677336042,0.005859346840835,0.7714769083988197,-0.004366013963118145,0,0.5
20140401,0.012730325582156254,0.01880343105427995,0.7956524135494791,0.009821152223032311,2,1.0
20140402,0.000766066472107696,0.00202840219361744,0.8065831911949436,0.000609522637471823,0,0.5
20140403,-0.0032657783994955447,-0.005142231989001322,0.8109335172297557,-0.002634121963200632,0,0.5
20140404,0.010777987042451032,0.0097139779515929,0.8218873514544367,0.008740230940991547,2,1.0
20140408,0.015112641468336352,0.018222596124969126,0.8280558521476933,0.012420888869891454,2,1.0
20140409,0.006156394575800639,0.0037571543423569054,0.8617286449711342,0.005097838556622034,0,0.5
20140410,0.009827988591254444,0.010132994864569422,0.8643694614636864,0.008469059291533458,2,1.0
20140411,-0.0034586219587617872,0.011717447884745047,0.8427468555828724,-0.0029895271999014063,-2,0.3
20140414,0.003222729563936211,0.0012654812590144893,0.8406381908941584,0.0027159452064012034,0,0.5
20140415,-0.010636068722229053,-0.009416804679866497,0.8669492935738898,-0.008941085568880574,0,0.5
20140416,0.001615397786995043,-0.0027341164716113697,0.8673765876812727,0.0014004679702761776,2,1.0
20140417,-0.0017250136715177278,0.0008510406462862719,0.880411668803297,-0.0014962364721045904,0,0.5
20140418,0.0022609803866220912,0.0032357712557784524,0.8428806871417359,0.001990593515317479,0,0.5
20140421,-0.016112543556682513,-0.018660293441011944,0.855211467282238,-0.013580951784657706,0,0.5
20140422,-0.0027045638298021646,-0.00048296199870201395,0.8571491322704979,-0.002312974001243578,2,1.0
20140423,-0.0022939244422331417,0.005613456703152275,0.8534992406832452,-0.0019662353451542235,0,0.5
20140424,-0.006028501761503491,-0.0051690003959541375,0.8798791801984163,-0.005145321675900836,0,0.5
20140425,-0.015867789049055225,-0.02827476628195935,0.8723354371344892,-0.013961737220044118,-2,0.3
20140428,-0.02484144392372123,-0.02408671369692683,0.8902353247707324,-0.02167007184425126,0,0.5
20140429,0.011702166156413396,0.014661777124864939,0.9164516777419793,0.010417681688775753,2,1.0
20140430,0.005183805287886645,0.008783955122784626,0.9098198186139234,0.00475070705317146,-2,0.3
20140505,0.005249599543954431,0.0038503181645095363,0.908747715982201,0.004776189704876355,0,0.5
20140506,0.003993879518792931,0.002482767445925793,0.9077361593399064,0.0036294288906111682,-2,0.3
20140507,-0.013217117586601768,-0.01282435573345364,0.911083600246976,-0.011997655555605821,0,0.5
20140508,-0.0005084940606089328,-0.002953670854849988,0.8949587927697212,-0.0004632805994437905,0,0.5
20140509,-0.0059344425153191604,-0.0054730484352918385,0.8971875274493173,-0.0053110815092713435,0,0.5
20140512,0.021364100615493653,0.015995842594543896,0.8933267350586733,0.01916760460739319,0,0.5
20140513,-0.0013698653681982198,0.0029075697278118096,0.9314007112161913,-0.001223737356842463,0,0.5
20140514,-0.00025571403861096575,-0.008970899472411031,0.9177528482502539,-0.0002381722374302181,0,0.5
20140515,-0.0158965028641897,-0.013797133689050223,0.9191792863258963,-0.014589060780828415,0,0.5
20140516,-0.001744267113474418,-0.0013801730915936616,0.9225855592913573,-0.0016032942005251467,2,1.0
20140519,-0.008720156622369302,-0.012410041831206975,0.9241457617925849,-0.008045090574556815,0,0.5
20140520,0.002576353684388799,-0.005567956893135051,0.9117447813156527,0.0023809263383066195,0,0.5
20140521,0.009069321746413728,0.014584050667769244,0.9079091134616805,0.008268906772365277,0,0.5
20140522,-0.00018978284618548225,-0.005464012169578258,0.9057423590700653,-0.00017230557563049565,-2,0.3
20140523,0.01017550163664438,0.007732639809144182,0.9231846707611854,0.009216382857095591,2,1.0
20140526,0.008584406242560516,0.006778011099533021,0.9265532845357383,0.007924992250718495,0,0.5
20140527,-0.004241045355826534,-0.004806929057816323,0.9331861693887282,-0.003929554504306113,0,0.5
20140528,0.012305845303527296,0.0036366515503547525,0.8945727983256618,0.011483644639888909,0,0.5
20140529,-0.009198103186373763,-0.005860942375334188,0.8879652385768502,-0.008228372906722563,-2,0.3
20140530,0.0017283519892620225,0.001560704566736737,0.8938111215636048,0.0015347164864898254,2,1.0
20140603,-0.00237733636098697,-0.013180429423620632,0.8691144508230282,-0.0021248896791477025,-2,0.3
20140604,-0.008214333432328136,-0.0070417131724017645,0.8685847566560555,-0.007139195889915108,-2,0.3
20140605,0.011818177209307001,0.011137364681477191,0.8687947619298263,0.010265088575464062,2,1.0
20140606,-0.004659061705874101,-0.007152398701762541,0.8713245030275946,-0.00404776840557126,0,0.5
20140609,-0.003842950266039369,-0.001528153192249193,0.8654253382394232,-0.0033484567307165156,0,0.5
20140610,0.01266056521247827,0.007459732939772534,0.839118281775272,0.010956773931311283,0,0.5
20140611,0.003282755700591,0.004685866491853874,0.8515159720447141,0.0027546203229678995,0,0.5
20140612,-0.002327340787446841,0.0006638757190104982,0.8581003237686772,-0.001981767852902107,0,0.5
20140613,0.011081760649281236,0.004360586294745339,0.8311431280956456,0.009509262401075214,0,0.5
20140616,0.007162188588883733,0.002716243829515186,0.832600579572465,0.005952803827775764,0,0.5
20140617,-0.00955045482573691,-0.010297155445869621,0.8306620439315768,-0.007951714223089197,-2,0.3
20140618,-0.005934785872249659,-0.00800022672786993,0.8553249598695651,-0.0049298013629391485,2,1.0
20140619,-0.02251844420917809,-0.014952388056977295,0.8885518947064553,-0.01926058738954029,0,0.5
20140620,0.008109737359836888,0.0033027409849855083,0.8958775164561229,0.007205922496654794,2,1.0
20140623,0.006113375955481615,0.004826990192447367,0.8914288255238615,0.0054768360681594465,-2,0.3
20140624,0.0063774538236479605,0.013952103823662743,0.8549011037267574,0.0056850461718471615,0,0.5
20140625,-0.004560741651121247,-0.0063600857968264535,0.8551702768309685,-0.0038989830713561484,0,0.5
20140626,0.011899146631423885,0.007686744727855688,0.8713693178038491,0.01017579651884705,2,1.0
20140627,0.004042504501488242,0.0036111710753679027,0.8710434544092358,0.0035225143896807985,-2,0.3
20140630,0.009141105776186875,0.006183822142467488,0.875525884413002,0.007962300352410034,2,1.0
20140701,0.003079389758430584,-0.0021314906403825384,0.9043489825532368,0.002696085441702278,0,0.5
20140702,0.004487274068489366,0.00027691623889181116,0.8951580980427729,0.004058061738275882,0,0.5
20140703,0.0057049102878821145,0.006080318619316127,0.8878566302019688,0.005106796642805202,0,0.5
20140704,-0.0006575303019950018,0.00017251269297546834,0.8847903827403434,-0.0005837926381849652,-2,0.3
20140707,-0.0012268901930048148,-0.001952801761227252,0.8868041379999307,-0.001085540643449104,0,0.5
20140708,0.005385949345524055,0.0028903194903331375,0.8822567393437237,0.004776282166668751,0,0.5
20140709,-0.015014140629974637,-0.016921706336345266,0.9061103302097522,-0.013246326756249545,0,0.5
20140710,-0.0015293762316896387,-0.005335751486994833,0.9104919419841631,-0.001385783602311245,2,1.0
20140711,0.004292692436717815,0.00347918170344097,0.9145366408380358,0.003908461873047933,2,1.0
20140714,0.01147477032034483,0.02351599959542705,0.8809856260088926,0.010494097903156151,0,0.5
20140715,-0.002483747663947211,0.019450822777639543,0.7471896936793812,-0.0021881459905706583,-2,0.3
20140716,-0.007691051617110034,-0.006420549089190097,0.7475579988918515,-0.0057466745018607554,0,0.5
20140717,-0.004961736975401143,-0.0103284391831302,0.7184333766266197,-0.0037091861643585864,0,0.5
20140718,0.0019327792244209219,0.01690178538766185,0.6915977279119783,0.001388573104474502,0,0.5
20140721,-0.0007773797101464086,0.0027092092096829834,0.6919193717436423,-0.0005376340412621284,0,0.5
20140722,0.013090217465447473,0.010470694065851438,0.6881584087159369,0.00905737504468007,0,0.5
20140723,-0.005797958272055426,-0.002962228780037157,0.6804688668381375,-0.003989913738299065,-2,0.3
20140724,0.005040015943382659,0.005109151416055724,0.6866218048334205,0.003429573937839744,2,1.0
20140725,0.009365665642446563,0.0066191366275427654,0.6846201997834291,0.006430670246883016,0,0.5
20140728,0.022661274604560577,0.020070092683207807,0.7361851525054451,0.015514366347121411,2,1.0
20140729,0.007840243431675775,-0.0024065557396772963,0.7102744520963818,0.005771870806428045,-2,0.3
