date,equity_return,bond_return,roro,sentiment_return,composite_signal,equity_position,nav,benchmark_nav
2015-01-06,-0.00017197475615371438,0.0008615149282040127,0.36924133258585606,-6.350018813332515e-05,0,0.5,1.000344770086025,1.000344770086025
2015-01-07,0.005069526468642366,-1.7076687361667988e-05,0.36924133258585606,0.0018718787088607763,1,0.8,1.0028718659434384,1.0028718659434384
2015-01-08,0.0002612824659261326,-1.7068478474590278e-05,0.36924133258585606,9.647628589988373e-05,-1,0.3,1.0030780687113803,1.0029943236120809
2015-01-09,-0.00335736531539714,0.0008896064077536958,0.36924133258585606,-0.001239678043034773,-1,0.3,1.0026924001306041,1.0017567495238762
2015-01-12,-0.005962349965434058,0.0004837173645764544,0.36924133258585606,-0.0022015460465801043,-1,0.3,1.0012383930391167,0.9990126209308409
2015-01-13,0.005919770497607613,-0.00013473719296747604,0.36924133258585606,0.002185823947139071,1,0.8,1.0029220906537735,1.0019022815727614
2015-01-14,-0.004343092313577782,0.00037128002179298233,0.36924133258585606,-0.0016036491934088488,-1,0.3,0.9995119370624798,0.9999125976742024
2015-01-15,0.007924209170207919,-0.00013170884640623115,0.36924133258585606,0.0029259455536966325,1,0.8,1.0017958883647609,1.003808507294777
2015-01-16,0.006409105835303686,-0.00013286487678512845,0.36924133258585606,0.002366506779311319,-1,0.3,1.006905760366428,1.0069585793287736
2015-01-19,-0.025335364753564293,0.00022098113578301708,0.36924133258585606,-0.009354863843154808,-1,0.3,0.99940841797801,0.9943140073045342
2015-01-20,0.015348880437708046,-0.000856640122328899,0.36924133258585606,0.005667441066520297,1,0.8,1.0034110647282017,1.0015189260759367
2015-01-21,0.021450170684050973,-0.0007624589162565163,0.36924133258585606,0.007920289607573044,1,0.8,1.0204767236693555,1.0118784935122618
2015-01-22,0.011174821683998665,-0.00018114376462048638,0.36924133258585606,0.004126206050008987,-1,0.3,1.0295626694060098,1.0174406266378715
2015-01-23,0.0006074283815466069,-0.00040641556016721196,0.36924133258585606,0.00022428766505273897,-1,0.3,1.0294573838794936,1.0175428859433446
2015-01-26,0.009225155165886706,0.00025712366629763696,0.36924133258585606,0.0034063085867633014,1,0.8,1.0324917436101686,1.0223671986274547
2015-01-27,-0.0054314406697475726,-0.00035401203776060547,0.36924133258585606,-0.0020055123907586083,-1,0.3,1.0279323065910049,1.0194097700887714
2015-01-28,-0.006796945132140464,-0.0006061518506676457,0.36924133258585606,-0.0025097130781044923,-1,0.3,1.0254001085957678,1.0156363753921769
2015-01-29,-0.0048923319370540175,0.000832824384460777,0.36924133258585606,-0.0018064511638901679,1,0.8,1.0244929140358923,1.0135748836238803
2015-01-30,-0.010175006651439972,-1.2888150243267821e-05,0.36924133258585606,-0.003757033015047644,-1,0.3,1.0161508955004377,1.008411786479886
